Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_Label
8080,6,02/03/2018 11:22:09,10131,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,44911.65729,690.9485737,1688.5,3687.565633,9207.0,1.0,606.0,303.0,281.4284989,502.0,104.0,9667.0,3222.333333,5187.929966,9207.0,1.0,0,0,0,0,72,92,296.1208173,394.8277564,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 11:12:57,494,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4048.582996,494.0,0.0,494.0,494.0,494.0,494.0,0.0,494.0,494.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,4048.582996,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 11:26:42,674,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2967.35905,674.0,0.0,674.0,674.0,674.0,674.0,0.0,674.0,674.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2967.35905,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 03:41:09,661,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3025.718608,661.0,0.0,661.0,661.0,661.0,661.0,0.0,661.0,661.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3025.718608,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
51545,6,02/03/2018 12:12:33,30,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,66666.66667,30.0,0.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,66666.66667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,33,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
8080,6,02/03/2018 11:27:48,11089,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,41031.65299,631.2561998,1848.166667,4053.931248,10113.0,18.0,530.0,265.0,304.0559159,480.0,50.0,10627.0,3542.333333,5695.051039,10113.0,26.0,0,0,0,0,72,92,270.5383714,360.7178285,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 03:40:12,14616,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,31130.2682,478.9272031,2436.0,5582.682151,13827.0,21.0,500.0,250.0,280.0142853,448.0,52.0,14189.0,4729.666667,7879.837646,13827.0,37.0,0,0,0,0,72,92,205.2545156,273.6726875,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 10:51:39,9642,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,47189.3798,725.9904584,1607.0,3363.33959,8451.0,0.0,710.0,355.0,424.2640687,655.0,55.0,9009.0,3003.0,4726.348379,8451.0,0.0,0,0,0,0,72,92,311.1387679,414.8516905,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
8080,6,02/03/2018 10:33:53,10704,3,4,326,129.0,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,42507.47384,653.961136,1784.0,3940.819965,9820.0,22.0,545.0,272.5,309.0056634,491.0,54.0,10235.0,3411.666667,5552.2765,9820.0,41.0,0,0,0,0,72,92,280.2690583,373.6920777,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
443,6,02/03/2018 10:17:00,8992951,92,157,8887,205132.0,571,0,96.59782609,203.176806,1460,0,1306.573248,398.1884009,23798.52843,27.6883528,36261.89919,324188.3729,4949565.0,0.0,4043353.0,44432.45055,137521.2738,1183892.0,133.0,8903491.0,57073.66026,415916.8186,5019046.0,0.0,0,0,0,0,1852,3144,10.23023477,17.45811803,0,1460,856.076,677.0859412,458445.3717,0,0,0,1,0,0,0,0,1,859.5140562,96.59782609,1306.573248,0,0,0,0,0,0,92,8887,157,205132,8192,47393,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
8080,6,02/03/2018 11:21:20,573,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3490.401396,573.0,0.0,573.0,573.0,573.0,573.0,0.0,573.0,573.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3490.401396,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
443,6,02/03/2018 11:05:59,100,3,0,31,0.0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,310000.0,30000.0,50.0,45.254834,82.0,18.0,100.0,50.0,45.254834,82.0,18.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,30000.0,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0.0,0,0,0,0,0,0,3,31,0,0,258,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
